Word Type,Word
Phonetic,náke yati t’á yaåti
English,bill (owing)
Phonetic,berehtå’ís
English,binoculars
Phonetic,beyághe yet’î
English,biologist
Phonetic,ch’âdíe k’órelyâ
English,birch
Phonetic,k’i
English,Birch Creek
Phonetic,K’idestsÿlé
English,Birch Island
Phonetic,T’ánuaze
English,Birch Point
Phonetic,K’ichelá
English,bird (any kind of ...)
Phonetic,det’áy
English,bird beak
Phonetic,æîyesdá
English,bird’s egg
Phonetic,Æîyez æeghézé
English,bird’s nest
Phonetic,Æîyes t’o
English,bird tail
Phonetic,æîyesché
English,birth control pill
Phonetic,sekui ch’á náídí
English,birth defect
Phonetic,ch’áríldhÿn
English,"birthday, his/her ..."
Phonetic,bedziné
English,Bishop
Phonetic,Yaåti Nedhé
English,bison / buffalo
Phonetic,æejÿre
English,bison hide
Phonetic,æejÿredh‡th
English,bison hide to sleep on
Phonetic,detå’otél
English,"bites it, she/he ..."
Phonetic,yéæ‡l
English,"bitter, it is ..."
Phonetic,denîts’i
English,black/dark
Phonetic,delzÿn
English,black currants
Phonetic,nõtsené
English,black duck
Phonetic,túlzî
English,blackbird
Phonetic,tå’otsáné
English,blackfly
Phonetic,æoneltúne
English,"blackout, she/he has a ..."
Phonetic,henal níle (æajá)
English,blade of knife
Phonetic,besk’á
English,blanket
Phonetic,ts’‡r
English,"blanket, feather ..."
Phonetic,æechus ts’‡r
English,"bleeding, she/he/it is ..."
Phonetic,dÿl beghâretå’ír
English,Blessed Virgin Mary
Phonetic,Degáy Marí
English,"blesses him/her/it, he/she ...."
Phonetic,bek’étáídzil
English,"blind partially, she/he/it is ..."
Phonetic,nat’îchóle
English,"blind, she/he/it is ..."
Phonetic,nat’ñle
English,blindfold
Phonetic,dÿnenaghe hécheth
English,"blinks, she/he/it …"
Phonetic,nagodhetîl
English,blister
Phonetic,tu níåketh
English,blizzard
Phonetic,yaîzús
English,blonde
Phonetic,deltsÿs
English,blood
Phonetic,dÿl
English,blood clot
Phonetic,dÿlzúr
English,blood pressure
Phonetic,t’at’ú dÿnedzié æeghálana
English,"blood sample, (she/he takes a ...)"
Phonetic,bedÿlé híåchu
English,"blood vessel, a person’s ..."
Phonetic,dÿnech’úth / dÿnech’udhé
English,bloodsucker / leech / snail
Phonetic,høt’úi / hút’úi
English,blouse
Phonetic,æizí
English,"blowing, she/he is ..."
Phonetic,æeyúl
English,blue
Phonetic,déhtå’ÿs
English,"blue, dark ... (navy)"
Phonetic,déhtå’ÿs delzÿn
English,blueberry
Phonetic,tsãåcho(gh)
English,bluefish/grayling
Phonetic,ts’ánt’i / ts’añt’in
English,board game
Phonetic,æerehtå’ís t’á sáts’edé
English,"boasts, she/he/it …"
Phonetic,desâ yaåti
English,boat / canoe
Phonetic,ts’i
English,boat motor propellor
Phonetic,tåest’othké t’odhé
English,"body, a person’s ..."
Phonetic,dÿnetth’i
English,boil on the skin
Phonetic,tthêåxeth
English,boiled egg
Phonetic,æeghésbes
English,boiled fish
Phonetic,åuebes / åue thebes
English,"boiling fish, he or she is.."
Phonetic,åueåbes
English,bolt / screw
Phonetic,hadeth
English,bone
Phonetic,tth’ÿn
English,"bone carving, he/she is making a ..."
Phonetic,æetth’ÿn æegháth
English,book
Phonetic,æerehtå’ís
English,"boots, leather ..."
Phonetic,æejÿredh‡th ke
English,"boots, rubber ..."
Phonetic,tudhél
English,"boots, winter ..."
Phonetic,xayké
English,"born, he/she/it is …"
Phonetic,núnîåtî
English,"born, she/he (person) is …"
Phonetic,dÿnelî
English,"born, they are … (animals)"
Phonetic,núnila
English,"borrowing it, I am ..."
Phonetic,Seghâ nát’â.
English,boss / manager
Phonetic,k’áldhÿr
English,bottle
Phonetic,åurtil / åutil
English,"bottom, on the ..."
Phonetic,beyaghe / betå’aghe
English,bough
Phonetic,æÿl
English,boulder
Phonetic,tthetsó
English,bow (used with arrows)
Phonetic,æîåtín
English,bowl
Phonetic,tth’áytsó
English,box
Phonetic,lagés
English,"box, cardboard ..."
Phonetic,æerehtå’ís til
English,boxer
Phonetic,dÿne æeåt’us dÿné
English,"boy, little ..."
Phonetic,dÿneyuaze
English,bracelet
Phonetic,dÿnelachÿné k’e thela
English,"brain, a person’s ..."
Phonetic,dÿnetthíghã
English,brassiere/bra
Phonetic,dÿnetth’údh‡th
English,bread
Phonetic,åést’édhulé
English,"bread, sliced ..."
Phonetic,åést’édhul nát’ath
English,breakfast (plural)
Phonetic,k’abñ shéts’elyi
English,"breast, a person’s ..."
Phonetic,dÿnetth’ué
English,"breast, its ... (of a bird)"
Phonetic,beyátthén
English,"breath, a person’s ..."
Phonetic,dÿneyí
English,"breathing, she/he /it is …"
Phonetic,hejí
English,brick
Phonetic,tthe nát’ath
English,"bridge, wooden ..."
Phonetic,dechÿn dáne
English,briefs /underpants/panties
Phonetic,tå’áit’ár
English,brightness
Phonetic,hñdî
English,broad axe / adze
Phonetic,tthêåkár
English,"broke, I am ... (have no money)"
Phonetic,sek’ête or ch’ÿr dúe
English,broken arm (his/her/its arm is broken)
Phonetic,begáné náté
English,broken bone
Phonetic,tth’ÿn náté
English,broken leg his/her/its leg is broken)
Phonetic,betth’ÿné náté
English,broken rib (his/her/its rib is broken)
Phonetic,bechantth’ÿné náté
English,"broken, it is ..."
Phonetic,náté
English,broom
Phonetic,yak’etî
English,broth
Phonetic,tudhÿl
English,"brother older, my …"
Phonetic,sunaghe
English,"brother younger, my …"
Phonetic,sechÿle
English,"Brother, Roman Catholic ..."
Phonetic,dÿnunaghe
English,"brother-in-law, my .(a man says …)"
Phonetic,seghe
English,"brother-in-law, my. (a woman says..)"
Phonetic,secháy
English,brown
Phonetic,æejÿredÿle lát’î
English,brown sugar
Phonetic,súgatthoghé
English,bruise
Phonetic,dÿnetth‡n déhtå’ÿs
English,"brush , paint..."
Phonetic,bet’á shéredli dechÿn
English,buffalo / bison
Phonetic,æejÿre
English,buffalo hide
Phonetic,æejÿredh‡th
English,buffalo hide for sleeping on
Phonetic,detå’otél
English,Buffalo River
Phonetic,Æejÿretuédes
English,Buffalo River (entry to...)
Phonetic,Æejÿretúdesche
English,buffaloberry / soapberry
Phonetic,tsãdÿle
English,bufflehead duck
Phonetic,tå’ák’egaze
English,bug / insect
Phonetic,gu
English,buggy
Phonetic,tåîcho bethchÿné
English,"building something, she/he is ..."
Phonetic,æasí heåtsi
English,"building, a ..."
Phonetic,yeh
English,"building, big ..."
Phonetic,kuêcho / yehcho
English,bull moose
Phonetic,deníyané
English,bulldog fly / horsefly
Phonetic,tå’is
English,bullet
Phonetic,æeåk’íthcho / lígardús
English,bumblebee
Phonetic,tå’istthó
English,burbot / loche/ ling cod
Phonetic,tñtel
English,burgundy
Phonetic,delk’os delzÿn
English,"buried a person, she/he ..."
Phonetic,dÿnetth’ÿn senñtâ
English,burnt hand (his/her/its hand is burnt)
Phonetic,belá thet’e
English,Burnt Island
Phonetic,Habainu
English,"burnt with fat, it is ..."
Phonetic,tåes t’á thet’e
English,"burnt, it is ..."
Phonetic,bek’erîk’â
English,"burnt, she/he/it is ..."
Phonetic,thet’e
English,"burps, she/he/it …"
Phonetic,narelk‡r
English,bush camp
Phonetic,nánis náts’edai
English,"bush, in the ..."
Phonetic,dechÿn yághe
English,Bushman
Phonetic,Nánet’ine
English,but
Phonetic,kúlú
English,butcher’s knife
Phonetic,bescho(gh)
English,butter
Phonetic,æejÿretth’ú tåes
English,butterfly
Phonetic,yágole / gálimák
English,"buttocks, a person’s ..."
Phonetic,dÿnetå’á
English,button
Phonetic,bâlay / banlay
English,buttonhole
Phonetic,bâla k’é
English,"buys it, she/he ..."
Phonetic,náyeåní
English,cab/taxi
Phonetic,taksi
English,cabbage
Phonetic,t’áncháycho
English,cabin
Phonetic,yeh
English,"cabin, abandonned ..."
Phonetic,thay kuç
English,cache (on the ground)
Phonetic,tsa
English,cache (up on a stage)
Phonetic,ts’iåtín
English,"caching something, he/she is ..."
Phonetic,thetsa
English,Caesarian section (C section)
Phonetic,sekui beghâ híåchu
English,café / cafeteria / restaurant
Phonetic,shéts’elyi kuç / shéch’elyi kuç
English,cake
Phonetic,åekÿn
English,calendar
Phonetic,dzî æerehtå’ís / dzerehtå’ís
English,"calf, a person’s ..."
Phonetic,dÿnelué
English,"calling him/her/it, she/he is ..."
Phonetic,yekaåti
English,callous
Phonetic,dÿnetth‡n detâ æajá
English,camera
Phonetic,bet’á dÿnení æerehtå’ís náåtsí /
English,camp fireplace
Phonetic,kún k’é
English,cancer
Phonetic,gu dáda
English,candle
Phonetic,k’ok’ÿn
English,candle ice
Phonetic,thi or æedhír
English,candy
Phonetic,náídíbâth
English,cane
Phonetic,téth
English,canker sore
Phonetic,dÿnedhá yághe ka
English,canned meat
Phonetic,satsán til b‡r / satsán til yéts’î b‡r
English,canoe
Phonetic,nálzé ts’iaze
English,"canoe, birchbark ..."
Phonetic,k’i ts’i
English,"canoe, freighter ..."
Phonetic,ts’icho
English,"canoe, moosehide ..."
Phonetic,denídh‡th ts’i
English,"canoe, sprucebark ..."
Phonetic,dÿlet’ús ts’i
English,canvas
Phonetic,líbarlá
English,canyon / valley
Phonetic,húlæa
English,car
Phonetic,bethchÿnaze
English,cards
Phonetic,xál
English,caribou
Phonetic,æetth‡n
English,caribou bone needle
Phonetic,æetth‡ntth’ÿn thatîl
English,caribou bull (with antlers spread wide)
Phonetic,bedzicho(gh)
English,Caribou Eater
Phonetic,Æetth‡n Déle
English,caribou hide
Phonetic,æetth‡ndh‡th
English,caribou hide for sleeping on
Phonetic,detå’otél
English,Caribou Islands
Phonetic,Æetth‡nué
English,caribou meat
Phonetic,æetth‡ntth‡n
English,"caribou, female ..."
Phonetic,ts’úday
English,"caribou, woodland ..."
Phonetic,tâdzié
English,"caribou, young ..."
Phonetic,bedziaze
English,carpenter
Phonetic,dechÿn æeghálana dÿné
English,carpentry
Phonetic,dechÿn æeghálana
English,carpet
Phonetic,dechÿntél k’e theåchúth
English,carrots
Phonetic,tthay
English,..contained item(s) (with hands)
Phonetic,nayekÿl
English,..large contained object
Phonetic,nayeåtîl
English,..live object
Phonetic,nayeåtel
English,..loose item(s)
Phonetic,nayelel
English,..on back
Phonetic,nayeghel
English,"..single object,"
Phonetic,nayeæÿl
English,..single soft item
Phonetic,nayeåcheth
English,..stick-like object
Phonetic,nayetîl
English,..two or more items
Phonetic,.
English,cartridge bag (shell bag)
Phonetic,æeåk’íthchodh‡th
English,"carving, he/she is ..."
Phonetic,æegháth
English,cash register
Phonetic,tsâba til
English,cashier/banker
Phonetic,tsâba betå’azí hutå’ír dÿné
English,cat
Phonetic,bãlay chíze / busí
English,"cat, young ... (kitten)"
Phonetic,bãlay chízeze
English,"catches on quickly, she/he …"
Phonetic,æeghã yenerení
English,"catching, she/he/it is …"
Phonetic,hñåchu
English,caterpillar
Phonetic,hunejÿn / æunejÿn
English,cattail
Phonetic,k’álachuzi
English,cattle
Phonetic,kuç æejÿré
English,cattle (female/cow)
Phonetic,ts’úda
English,cattle (male/bull)
Phonetic,æejÿreyané
English,cave
Phonetic,haæâ
English,cavity in a person’s tooth
Phonetic,dÿneghú k’úrñæa
English,"cavity, a person’s body ..."
Phonetic,dÿnezí yághe
English,ceiling
Phonetic,yudók’e
English,cement
Phonetic,tthe deltur
English,"centre, middle"
Phonetic,tanizî
English,cereal
Phonetic,k’abñdÿné ni
English,chainsaw
Phonetic,dechÿnbeze
English,chair
Phonetic,dáchÿné
English,"chalkboard, whiteboard"
Phonetic,bek’e æerehtå’íze
English,charcoal
Phonetic,t’és
English,cheap (not expensive)
Phonetic,détíle
English,checkers
Phonetic,k’ot’áy
English,"cheek, a person’s ..."
Phonetic,dÿnetå’atth‡n
English,"cheekbone, a person’s ..."
Phonetic,dÿnetå’atth‡n tth’‡n
English,"cheerful and happy, she/he is …"
Phonetic,ba hurélyâ / benié
English,cheese
Phonetic,chiz
English,cheque
Phonetic,chek
English,"chest, a person’s ..."
Phonetic,dÿnezí
English,chickadee
Phonetic,dalats’us
English,chicken
Phonetic,bãlay k’ásba
English,chicken meat
Phonetic,bãlay k’ásbatth‡n
English,Chief of band
Phonetic,lishéf
English,"chief, sub- ...."
Phonetic,lishéf k’íni theda
English,child
Phonetic,sekui
English,"child, my …"
Phonetic,seyaze
English,childbirth (she is having a baby)
Phonetic,sekui dÿneåé
English,"children, my …"
Phonetic,seskéne
English,children’s games
Phonetic,sekui zané
English,"chill, she/he/it has a ..."
Phonetic,dÿnetth’i hetheåk’ath
English,"chin, a person’s ..."
Phonetic,dÿneyédá
English,Chipewyan
Phonetic,Dÿne Dédliné / Dÿne Søåiné
English,chipmunk
Phonetic,tthâågús
English,Chize Creek
Phonetic,Chízdezé
English,chocolate bar
Phonetic,æejÿredÿlé
English,Christmas
Phonetic,Tÿdhe Yati
English,Christmas feast
Phonetic,tÿdhe yati shéts’elyi
English,Christmas star
Phonetic,æetth‡ngai
English,church
Phonetic,yaåti kuç
English,church bell (small)
Phonetic,yaåti kuç bãtth’a
English,church bell is ringing
Phonetic,yaåti kuç satsán deltsÿr
English,cigar
Phonetic,ts’élt’u
English,cigarette
Phonetic,ts’élt’u
English,circle
Phonetic,dabâth
English,city
Phonetic,kuç nedhé
English,clam / snail / leech
Phonetic,hút’úi / høt’úi
English,"claps, she/he/it …"
Phonetic,æeåekár
English,classroom
Phonetic,yízî sekui hóneåtÿn kuç
English,"claw, its ..."
Phonetic,bekegané
English,"clay, white ..."
Phonetic,hatå’és delgai
English,"clean, it is ..."
Phonetic,delk’ÿl
English,"cleaning fish, she/he is ..."
Phonetic,åue séle
English,"clears his/her throat, she/he …"
Phonetic,delká
English,clergyman
Phonetic,that’ín yaåti
English,clerk / secretary / postal worker
Phonetic,æerehtå’ís k’élní dÿné
English,cliff
Phonetic,tthegér
English,cliff (ridges)
Phonetic,tthegérlar
English,"climbing, she/he is ..."
Phonetic,æekáågÿr
English,close to
Phonetic,nedhíle
English,close to water’s edge
Phonetic,tabâ
English,closet
Phonetic,beyé yú thela
English,clothing
Phonetic,yú
English,clothing store
Phonetic,yú nání kuç
English,cloud
Phonetic,k’oth
English,cloud (fairweather)
Phonetic,sadí k’odhé
English,cloudberry
Phonetic,nadláre
English,cloudy
Phonetic,k’oth yághe
English,club
Phonetic,xál
English,clubs (in cards)
Phonetic,k’ásba ké
English,coal
Phonetic,t’és
English,coal oil lamp
Phonetic,nátåezé
English,coat (long)
Phonetic,æi neth
English,"cocoa, hot chocolate (bison blood)"
Phonetic,æejÿredÿl déåtur
English,coffee
Phonetic,lígafí
English,coffee pot
Phonetic,lígafí til
English,"coffin, a person’s ..."
Phonetic,dÿnetth’‡n dechÿn til
English,coin toss
Phonetic,satsánaze yéldíl
